Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.7319E-09,5.4338E-07,0.026975,0,0,0,3.4072,0.00319,7.149E-11,6.0313E-11,0.010531,6.926E-09,0.012315,0,0,0,0,0,0,package://huron_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/base_link.STL,,Pelvis Assembly-1,Coordinate System13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_yaw_link,0.00063365,-0.00053469,0.063496,0,0,0,1.6968,0.0022702,-2.5061E-10,6.6464E-06,0.0026746,-5.1468E-09,0.001238,0,0,0,0,0,0,package://huron_description/meshes/l_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/l_hip_yaw_link.STL,,Brkt_Stg1_Assembly_Mirror-1;Flipsky Motor-6;VEX Planetary Gearbox Standin Assem-3;6495K714_Timing Belt 14T Pulley-5,Coordinate System1,Axis1,l_hip_yaw_joint,revolute,-0.0775,0,-0.14512,0,0,-0.0062919,base_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
l_hip_roll_link,0.07196,0.0061153,-0.0005211,0,0,0,1.1884,0.00098222,-9.9265E-08,4.9766E-09,0.00097045,-9.7282E-08,0.00092365,0,0,0,0,0,0,package://huron_description/meshes/l_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/l_hip_roll_link.STL,,Brkt_stg2_assembly-2;6495K723_Timing Belt 28T Pulley-7;6495K723_Timing Belt 28T Pulley-5,Coordinate System3,Axis3,l_hip_roll_joint,revolute,0,0,0,1.5708,0,3.1416,l_hip_yaw_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
l_hip_pitch_link,0.26603,4.6212E-05,0.053152,0,0,0,4.2544,0.0034527,-3.1046E-08,0.0019797,0.010032,-1.4492E-10,0.01009,0,0,0,0,0,0,package://huron_description/meshes/l_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/l_hip_pitch_link.STL,,Brkt_Stg3_Assembly-2;6495K714_Timing Belt 14T Pulley-6;Femur_screwed-2;Flipsky Motor-3;VEX Planetary Gearbox Standin Assem-4;Flipsky Motor-5;6495K714_Timing Belt 14T Pulley-3;VEX Planetary Gearbox Standin Assem-2;6495K723_Timing Belt 28T Pulley-3;Knee Bracket Stage 1-3,Coordinate System4,Axis6,l_hip_pitch_joint,revolute,0,0,0,-1.5707963267949,0,-1.5707963267949,l_hip_roll_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
l_knee_pitch_link,0.13395,0.00068098,0.00486,0,0,0,3.4875,0.0064808,1.3685E-05,-2.8221E-05,0.019763,1.0351E-05,0.017354,0,0,0,0,0,0,package://huron_description/meshes/l_knee_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/l_knee_pitch_link.STL,,Knee Bracket Stage 2 Assembly-2;AnkleAssembly-1/Shank-1;AnkleAssembly-1/Flipsky Motor-1;AnkleAssembly-1/SteelShaft_halfinch_keyed-1;AnkleAssembly-1/csd-25-xxx-2uh (1).stp-1;AnkleAssembly-1/6495K714_Timing Belt 14T Pulley-4;AnkleAssembly-1/6495K714_Timing Belt 14T Pulley-3;AnkleAssembly-1/60355K505_Ball Bearing-6;AnkleAssembly-1/60355K505_Ball Bearing-5;AnkleAssembly-1/4BarTopLink-1,Coordinate System7,Axis4,l_knee_pitch_joint,revolute,0.511278478308803,4.99999997527478E-05,1.66647320021251E-05,0,0,0,l_hip_pitch_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
l_ankle_pitch_link,-0.029808,0.001045,3.1135E-08,0,0,0,2.4242,0.0025143,-0.00025651,1.1648E-12,0.0045125,6.7198E-10,0.0049235,0,0,0,0,0,0,package://huron_description/meshes/l_ankle_pitch_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://huron_description/meshes/l_ankle_pitch_link.STL,,AnkleAssembly-1/RollBracket-1;AnkleAssembly-1/Flipsky Motor-2;AnkleAssembly-1/ShaftAttachtoShank-2;AnkleAssembly-1/ShaftAttachtoShank-1;AnkleAssembly-1/6495K714_Timing Belt 14T Pulley-1;AnkleAssembly-1/6495K714_Timing Belt 14T Pulley-2;AnkleAssembly-1/SteelShaft_halfinch-2;AnkleAssembly-1/csd-25-xxx-2uh (1).stp-2;AnkleAssembly-1/60355K505_Ball Bearing-4;AnkleAssembly-1/60355K505_Ball Bearing-2,Coordinate System16,Axis23,l_ankle_pitch_joint,revolute,0.370000000000016,3.16358752296964E-05,0.00249999999999911,0,0,0.0249371730038869,l_knee_pitch_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
l_ankle_roll_link,0.073422,-5.3261E-05,0.063946,0,0,0,1.8533,0.008682,-1.0255E-05,0.00024351,0.0084057,0.00012332,0.0013019,0,0,0,0,0,0,package://huron_description/meshes/l_ankle_roll_link.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://huron_description/meshes/l_ankle_roll_link.STL,,AnkleAssembly-1/SteelShaft_halfinch_footattach-1;AnkleAssembly-1/SteelShaft_halfinch_footattach-2;AnkleAssembly-1/FootBracket-1;AnkleAssembly-1/Foot 3-1,Coordinate System17,Axis22,l_ankle_roll_joint,revolute,0,0,0,1.57079632679489,0,0,l_ankle_pitch_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
r_hip_yaw_link,0.0006244,0.00052023,0.063505,0,0,0,1.6968,0.0022729,-5.6517E-10,6.6464E-06,0.0026746,5.6889E-09,0.0012354,0,0,0,0,0,0,package://huron_description/meshes/r_hip_yaw_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/r_hip_yaw_link.STL,,Brkt_Stg1_Assembly-1;Flipsky Motor-1;6495K714_Timing Belt 14T Pulley-1;VEX Planetary Gearbox Standin Assem-6,Coordinate System2,Axis2,r_hip_yaw_joint,revolute,0.0774999999999944,0,-0.1451242,0,0,3.13046853298182,base_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
r_hip_roll_link,-0.07196,0.0061152,-0.00052563,0,0,0,1.1884,0.00098222,9.8947E-08,9.2484E-09,0.00097045,9.7414E-08,0.00092365,0,0,0,0,0,0,package://huron_description/meshes/r_hip_roll_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/r_hip_roll_link.STL,,Brkt_stg2_assembly-1;6495K723_Timing Belt 28T Pulley-4;6495K723_Timing Belt 28T Pulley-1,Coordinate System5,Axis5,r_hip_roll_joint,revolute,0,0,0,1.5708,0,0,r_hip_yaw_link,0,0,-1,0,0,-3.1416,3.1416,,,0.1,0,,,,
r_hip_pitch_link,0.26753,4.9957E-05,-0.053132,0,0,0,4.2544,0.0034501,-2.7561E-09,-0.0019797,0.010035,2.5263E-10,0.01009,0,0,0,0,0,0,package://huron_description/meshes/r_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://huron_description/meshes/r_hip_pitch_link.STL,,Brkt_Stg3_Assembly-1;6495K714_Timing Belt 14T Pulley-4;Femur_screwed-1;Flipsky Motor-2;VEX Planetary Gearbox Standin Assem-5;Knee Bracket Stage 1-1;6495K714_Timing Belt 14T Pulley-2;6495K723_Timing Belt 28T Pulley-2;Flipsky Motor-4;VEX Planetary Gearbox Standin Assem-1,Coordinate System6,Axis7,r_hip_pitch_joint,revolute,0,0,0,-1.5708,0,-1.5708,r_hip_roll_link,0,0,1,0,0,-3.1416,3.1416,,,0.1,0,,,,
