Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.73188960237181E-09,5.43380156814433E-07,0.0269746723866842,0,0,0,3.40723570208261,0.00319004496846458,7.14900268581691E-11,6.0312906921393E-11,0.0105312204112697,6.92595211690858E-09,0.0123154567422159,0,0,0,0,0,0,package://huron_description_2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/base_link.STL,,Pelvis Assembly-1,Coordinate System13,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_upper_thigh,0.00063027145118244,0.000538669833131833,0.0816280399810376,0,0,0,1.6968456216795,0.00227022630391094,-2.54431260104897E-06,-6.64622684424124E-06,0.00267462162343889,-4.69650413333908E-08,0.00123800916526073,0,0,0,0,0,0,package://huron_description_2/meshes/left_upper_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_upper_thigh.STL,,Brkt_Stg1_Assembly_Mirror-1;Flipsky Motor-6;VEX Planetary Gearbox Standin Assem-3;6495K714_Timing Belt 14T Pulley-5,Coordinate System1,Axis1,hip_2_left_upper_thigh,revolute,-0.0775,0,0,3.1416,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
left_middle_thigh,-0.0719622084593496,-0.00611530026086354,-6.83234131536592E-05,0,0,0,1.18837728003772,0.000982220615924269,-9.86513152329328E-08,-3.73487671878971E-07,0.000970452993289274,9.79041445139278E-08,0.00092365496384701,0,0,0,0,0,0,package://huron_description_2/meshes/left_middle_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_middle_thigh.STL,,Brkt_stg2_assembly-2;6495K723_Timing Belt 28T Pulley-7;6495K723_Timing Belt 28T Pulley-5,Coordinate System3,Axis3,left_thigh_roll,revolute,0,0,0.1451242,1.5707963267949,0,0,left_upper_thigh,-0.00629189312904533,0,-0.999980205844522,0,0,0,0,,,,,,,,
left_lower_thigh,-0.266032619495271,-0.000288212950915689,-0.0531507715646498,0,0,0,4.25435975944067,0.00345274124785122,1.24869769517437E-05,0.00197963999643362,0.0100324127414557,3.64016409863169E-07,0.010090241102447,0,0,0,0,0,0,package://huron_description_2/meshes/left_lower_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_lower_thigh.STL,,Brkt_Stg3_Assembly-2;6495K714_Timing Belt 14T Pulley-6;Femur_screwed-2;Flipsky Motor-3;VEX Planetary Gearbox Standin Assem-4;Flipsky Motor-5;6495K714_Timing Belt 14T Pulley-3;VEX Planetary Gearbox Standin Assem-2;6495K723_Timing Belt 28T Pulley-3;Knee Bracket Stage 1-3,Coordinate System4,Axis6,left_thigh_pitch,revolute,0,0,0,-1.5707963267949,0,-1.57079632679489,left_middle_thigh,0,0.0062918931290415,0.999980205844522,0,0,0,0,,,,,,,,
left_shin,-0.114650881627948,-0.0200601309451988,0.000818843611288478,0,0,0,1.60581202983578,0.00116466025324857,-5.06243347933369E-06,-2.95036730912847E-10,0.00754378536758175,-2.60872069219708E-11,0.00773513292013865,0,0,0,0,0,0,package://huron_description_2/meshes/left_shin.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_shin.STL,,Knee Bracket Stage 2 Assembly-2;Ankle V6 Assembly-2/Ankle Top Plate v3-1;Ankle V6 Assembly-2/Ground Link V2-1;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-4;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-3;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-1;Ankle V6 Assembly-2/Ankle Top Plate U-joint Attachment-2,Coordinate System7,Axis4,left_knee,revolute,-0.511278478308803,4.98941573321976E-05,-1.69789967927603E-05,-0.00629193464362004,0,0,left_lower_thigh,0,0,1,0,0,0,0,,,,,,,,
left_ankle_roll_link,-1.23603651863702E-05,5.57268410583678E-07,0.000277899308168128,0,0,0,0.0816413455622017,2.09931500829249E-05,-5.12265171426361E-07,-2.80748290382414E-10,1.03508115313432E-05,4.07293290858292E-12,2.23948011263121E-05,0,0,0,0,0,0,package://huron_description_2/meshes/left_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_ankle_roll_link.STL,,Ankle V6 Assembly-2/Ankle Pitch and Roll Coupling V2-2,Coordinate System12,Axis18,left_ankle_roll,revolute,-0.425000000000015,-0.0344999999997562,0,1.57079632679491,0,0,left_shin,0,0,1,0,0,0,0,,,,,,,,
left_foot,-0.027041,-0.034311,0.00083257,0,0,0,2.6907,0.0080929,0.00024558,-5.8611E-05,0.0012877,0.0001125,0.0070808,0,0,0,0,0,0,package://huron_description_2/meshes/left_foot.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://huron_description_2/meshes/left_foot.STL,,Ankle V6 Assembly-2/Ankle Roll Actuation Link V3-2;Ankle V6 Assembly-2/Bottom Joint Connector V3-1;Ankle V6 Assembly-2/Bottom Joint Connector V3-2;Ankle V6 Assembly-2/Foot Assembled-1/Foot 3-1;Ankle V6 Assembly-2/Foot Assembled-1/TopBlock-1;Ankle V6 Assembly-2/Foot Assembled-1/AnkleBlock-1;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-1;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-3;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-4;Ankle V6 Assembly-2/Foot Assembled-1/Rubber stopper-2;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-3;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-2;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-4;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-6;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-8;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-1;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-5;Ankle V6 Assembly-2/Foot Assembled-1/Metal stopper-7,Coordinate System11,Axis17,left_ankle_pitch,revolute,0,0,0,-1.5707963267949,0,0,left_ankle_roll_link,-0.0479684947160885,0,-0.998848849183235,0,0,0,0,,,,,,,,
right_upper_thigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://huron_description_2/meshes/right_upper_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://huron_description_2/meshes/right_upper_thigh.STL,,Brkt_Stg1_Assembly-1;Flipsky Motor-1;6495K714_Timing Belt 14T Pulley-1;VEX Planetary Gearbox Standin Assem-6,Coordinate System2,Axis2,hip_2_right_upper_thigh,revolute,0.0775000000000027,0,0,-3.14159265358979,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
right_middle_thigh,0.0719500497192963,-0.00611520018078508,-0.00132607895244657,0,0,0,1.18837729131939,0.000982215551324506,9.78567635679184E-08,-6.60736762566721E-07,0.000970452982433009,-9.85088275572797E-08,0.000923660039693469,0,0,0,0,0,0,package://huron_description_2/meshes/right_middle_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/right_middle_thigh.STL,,Brkt_stg2_assembly-1;6495K723_Timing Belt 28T Pulley-4;6495K723_Timing Belt 28T Pulley-1,Coordinate System5,Axis5,right_thigh_roll,revolute,0,0,0.1451242,1.5707963267949,0,0,right_upper_thigh,-0.0111238911817118,0,-0.999938127608392,0,0,0,0,,,,,,,,
right_lower_thigh,-0.267528305398288,4.99568352568813E-05,0.0531316633422754,0,0,0,4.25435978482121,0.00345009124368214,2.75609194373135E-09,-0.00197967910797871,0.0100350604541718,-2.52633173109223E-10,0.0100902433938639,0,0,0,0,0,0,package://huron_description_2/meshes/right_lower_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://huron_description_2/meshes/right_lower_thigh.STL,,Brkt_Stg3_Assembly-1;6495K714_Timing Belt 14T Pulley-4;Femur_screwed-1;Flipsky Motor-2;VEX Planetary Gearbox Standin Assem-5;Knee Bracket Stage 1-1;6495K714_Timing Belt 14T Pulley-2;6495K723_Timing Belt 28T Pulley-2;Flipsky Motor-4;VEX Planetary Gearbox Standin Assem-1,Coordinate System6,Axis7,right_thigh_pitch,revolute,0,0,0,-1.58192044740287,0,-1.57079632679489,right_middle_thigh,0,0,-1,0,0,0,0,,,,,,,,
